Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
IC0061;G;00:57:07.20;+07:30:25.5;Psc;1.34;1.29;175;15.23;;11.65;10.97;10.54;24.61;S0;;;;11020;0.037459;;;;;;;;2MASX J00570722+0730255,MCG +01-03-009,PGC 003408,UGC 00589;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0062;G;00:58:43.94;+11:48:28.8;Psc;0.76;0.46;25;14.97;;11.79;11.08;10.77;22.85;Sbc;;;;11354;0.038617;;;;;;;;2MASX J00584393+1148286,MCG +02-03-021,PGC 003507,UGC 00606;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0063;HII;00:59:28.84;+60:54:42.1;Cas;10.00;3.00;;13.33;;;;;;;;;;;;;;;;;;;LBN 622;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:9|MinAx:9|B-Mag:2
IC0064;G;00:59:24.42;+27:03:32.6;Psc;1.03;0.65;148;15.10;13.96;11.80;11.03;10.77;23.88;S0;;;;13353;0.045578;;;;;;;;2MASX J00592444+2703319,MCG +04-03-031,PGC 003550,UGC 00613;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0065;G;01:00:55.42;+47:40:55.1;And;2.56;0.73;154;13.60;;10.50;9.78;9.51;23.45;Sbc;;;;2604;0.008723;;;;;;;;2MASX J01005543+4740551,IRAS 00580+4724,MCG +08-03-005,PGC 003635,UGC 00625;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0066;G;01:00:32.50;+30:47:50.0;Psc;1.23;0.42;124;14.93;14.10;11.73;11.12;10.74;23.66;Sa;;;;4771;0.016044;;;;;;;;2MASX J01003251+3047500,MCG +05-03-033,PGC 003606,UGC 00623;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0067;NonEx;01:00:17.66;-06:54:38.7;Cet;;;;;;;;;;;;;;;;;;;;;;;;;"Nominal position; does not exist.";;Type:1|RA:1|Dec:1|Const:99
IC0068;NonEx;01:00:21.65;-06:56:38.8;Cet;;;;;;;;;;;;;;;;;;;;;;;;;"Nominal position; does not exist.";;Type:1|RA:1|Dec:1|Const:99
IC0069;G;01:01:23.66;+31:02:27.0;Psc;0.76;0.41;71;14.65;;11.89;11.02;10.86;23.04;SABb;;;;4990;0.016785;;;;;;;;2MASX J01012367+3102269,MCG +05-03-041,PGC 003666;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0070;G;01:01:03.95;+00:03:02.7;Cet;0.42;0.24;147;16.77;;13.37;12.65;12.29;23.65;S0-a;;;;18411;0.063420;;;;;;;;LEDA 173286;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0071;*;01:01:19.26;-06:46:01.8;Cet;;;;;;;;;;;;;;;;;;;;;;;;;ID as IC 0071 is not certain, but there is no other reasonable candidate.;;Type:1|RA:1|Dec:1|Const:99
